,apparel
0,0.43096034400382227
1,0.43096034400382227
2,0.1986625749338632
3,"{0: 0.43096034400382227, 1: 0.4013377926421405, 2: 0.12255136168179646, 3: 0.03487816531294792, 4: 0.010272336359292882}"
4,0.43430482560917344
5,0.43430482560917344
6,0.2997032024753381
7,"{0: 0.43430482560917344, 1: 0.4228380315336837, 2: 0.10965121834687053, 3: 0.027950310559006212, 4: 0.005255613951266125}"
8,0.29479216435738176
9,0.29479216435738176
10,-0.26307772022109255
11,"{0: 0.29479216435738176, 1: 0.40611562350692787, 2: 0.2095078834209269, 3: 0.0740563784042045, 4: 0.015527950310559006}"
12,0.24725274725274726
13,0.24725274725274726
14,-0.5407647560785069
15,"{0: 0.24725274725274726, 1: 0.36669851887243193, 2: 0.2826086956521739, 3: 0.0740563784042045, 4: 0.029383659818442428}"
16,0.39297658862876256
17,0.39297658862876256
18,0.34903562505091285
19,"{0: 0.39297658862876256, 1: 0.4651218346870521, 2: 0.12756808408982323, 3: 0.013139034878165312, 4: 0.0011944577161968467}"
20,0.3924988055422838
21,0.3924988055422838
22,0.3212249958935776
23,"{0: 0.3924988055422838, 1: 0.4620162446249403, 2: 0.12422360248447205, 3: 0.019827998088867656, 4: 0.001433349259436216}"
24,0.3910654562828476
25,0.3910654562828476
26,0.3518306631571778
27,"{0: 0.3910654562828476, 1: 0.4687052078356426, 2: 0.12589584328714765, 3: 0.013377926421404682, 4: 0.0009555661729574773}"
